"6815","LESCO","Kasur","Chunian","KanganPur West","Kasur","Kangan Pur","Gandhi Roop Singh","30301","22-02-2022","09:00","0.625","Work Order No.10-19-0022Starting Date 06-2020Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM) for Dismentlement% age of work Completed 80%","Rural Area"
"6816","LESCO","Third","Mughal pura","Taj Pura","south","Ghazi Grid","Ghazi Abad","98701","22-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Ghazi Abad"
"6817","LESCO","Kasur","Phool Nagar","Model Division","ELR","Sarfraz Nagar","Golden","73714","22-02-2022","09:00","0.625","D/W M/S MEEZAN BEVERAGES PVT LTD.","Ind"
"6818","LESCO","Fifth","Cantt","Guldasht Town","south","Ghazi Grid","Guldasht Town","98706","22-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Guldasht Town"
"6819","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","Hundal","85006","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","Village Hundal"
"6820","LESCO","Fifth","Cantt","Altaf Colony","south / ELR","Ghazi Grid","Hussain Road","98723","22-02-2022","","","1. D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 2. D/W EDEN CITY Housing 3.11KV Sejhpal (P)Feeder ELR","Hussain Road10% SOUTH                                                             Society ELR"
"6821","LESCO","Okara 4th","Okara","Ravi","Okara","Gogera","Jandraka","53905","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Jandraka"
"6822","LESCO","Kasur","Chunian","Kangan Pur","Kasur","Kangan Pur","Kalas","30308","22-02-2022","09:00","0.625","Work Order No.10-19-0022Starting Date 06-2020Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM) for Dismentlement% age of work Completed 80%","Village Kalas"
"6823","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","Kasur Road","85009","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","KRK"
"6824","LESCO","Kasur","Phool Nagar","Sarfraz Nagar","ELR","Manga Mandi","Kot Asad Ullah","41101","22-02-2022","09:00","0.625","M/S T.U Plastic Industry Company PVT.LTD.AT 45 KM Multan Road Phool Nagar D/W M/S MEEZAN BEVERAGES PVT LTD.","Kot Asad Ullah Kalan wala Khoo"
"6825","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","KRK","85001","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","Village KRK"
"6826","LESCO","Centrel Circle","Raiwind","Sarfraz Nagar","ELR","Manga Mandi","Lahore Poly","41126","22-02-2022","0.375","0.625","D/W M/S T.U Plastic Industry Company PVT.LTD","Independent"
"6827","LESCO","Kasur","Kot Radha Kishan","KRK-II","Kasur","Kot Radha Kishan","Lasani","85008","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","Lasani"
"6828","LESCO","Central","Raiwind","Manga","ELR","Sarfraz Nagar","Lote Kolsan","","22-02-2022","09:00","0.625","D/W M/S MEEZAN BEVERAGES PVT LTD.","Canal Bank / Gujjar Pura"
"6829","LESCO","Fifth","Cantt","Zarar Shaheed Road","south","Ghazi Grid","Main Bazar","98705","22-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Main Bazar"
"6830","LESCO","Kasur","Phool Nagar","Sarfraz Nagar","ELR","Phool Nagar","Manga-I","","22-02-2022","09:00","0.625","D/W M/S MEEZAN BEVERAGES PVT LTD.","Ind"
"6831","LESCO","Kasur","Model","Model","ELR","Manga Mandi","Masco","41134","22-02-2022","09:00","0.625","M/S T.U Plastic Industry Company PVT.LTD.AT 45 KM Multan Road Phool Nagar D/W M/S MEEZAN BEVERAGES PVT LTD.","Independent"
