"6870","LESCO","SKP","SKP Rural","Attabad","SKP","Sharqpur Road","ADS-II","089710","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Independent"
"6871","LESCO","SKP","SKP Rural","Waris Shah","SKP","Sharqpur Road","Al Karam","089706","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Independent"
"6872","LESCO","SKP","SKP Rural","Attabad","SKP","Sharqpur Road","CKM-2","089701","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Chechoki Malian"
"6873","LESCO","SKP","SKP Rural","K/Wala","SKP","Sharqpur Road","Gulstan         Park","089708","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Gulsistan ParkSharqpur Road"
"6874","LESCO","SKP","SKP Rural","Attabad","SKP","Sharqpur Road","Ideal Flouting & Cr","089709","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Independent"
"6875","LESCO","SKP","SKP Rural","K/Wala","SKP","Sharqpur Road","Rahman Pura","089705","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Rehman PuraSharqpur Road"
"6876","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Asif Town","115201","23-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Asif Town"
"6877","LESCO","Eastren","Mughal Pura","Amir town","North","Fateh Garh","Canal Bank / Iftikhar Park","3820","23-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Asif Town"
"6878","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Qalandar pura","115203","23-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Kotli Ghazi"
"6879","LESCO","Northeren","Feroze Wala","Kot Abdul Malik","North","UIS","Hamza Meat","39912","23-02-2022","09:00","0.625","BETTER ENGINEERING (EM) Feeder (Errection of poles )","INDEPENDENT"
"6880","LESCO","Northern","Kot Abdul Malik","SKP Road","ELR","UIS","Alhadeed Ind","","23-02-2022","09:00","0.625","M/S Jilani Poly Industries (Pvt) Ltd SKP Road Lahore","Ind"
"6881","LESCO","Northern","Ravi Road","Amin Park","ELR","Sagian Grid","Amin Park","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"6882","LESCO","Northern","Kot Abdul Malik","SKP Road","ELR","UIS","Azhar Iqbal","","23-02-2022","09:00","0.625","D/W Atta Metal (PVT).LTD                 M/S Jilani Poly Industries (Pvt) Ltd SKP Road Lahore",""
"6883","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR / NORTH","UIS","Batala Allied","","23-02-2022","0.375","0.625","1. D/W Atta Metal (PVT) LTD ELR                        2. BETTER ENGINEERING (EM) Feeder (Errection of poles ) north","Ind"
"6884","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Batala Steel II","","23-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"6885","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Hamza Meet","","23-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"6886","LESCO","Northern","Data Darbar","Bilal Ganj","ELR","Sagian Grid","Ind-I","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"6887","LESCO","Northern","Data Darbar","Bilal Ganj","ELR","Sagian Grid","Ind-II","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"6888","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Iqbal Town","","23-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","SKP Road"
"6889","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Javaid International","39908","23-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"6890","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Malik & Company","39909","23-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"6891","LESCO","Northern","Ravi Road","Sandha","ELR","Sagian Grid","Mughal Park","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder",""
"6892","LESCO","Northern","Ravi Road","Amin Park","ELR","Sagian Grid","Rashid Road","","23-02-2022","08:00","0.5833","11KV Khalid Park Feeder","Indp."
"6893","LESCO","Northern","Ravi Road","Sandha","ELR","Sagian Grid","Sagian Bridge","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder",""
"6894","LESCO","Northern","Ravi Road","Amin Park","ELR","Sagian Grid","Shafiqa Abad","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"6895","LESCO","Northern","Kot Abdul Malik","SKP Road","ELR","UIS","Taj Industry","","23-02-2022","09:00","0.625","M/S Jilani Poly Industries (Pvt) Ltd SKP Road Lahore","Ind"
"6896","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR / NORTH","UIS","Tri Plast","39910","23-02-2022","0.375","0.625","1. D/W Atta Metal (PVT) LTD ELR                        2. BETTER ENGINEERING (EM) Feeder (Errection of poles ) north","Ind"
"6897","LESCO","Northern","Data Darbar","Bilal Ganj","ELR","Sagian Grid","Umer Park","","23-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"6898","LESCO","Kasur","Phool  Nagar","Jumber","south /Kasur","Bhai Pheru","Niaz Baig","1507","23-02-2022","09:00","0.625","Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% /Work Order No. 09-21-0010Starting Date 01-2022Area Planning / Bifurcation of 11KV Jajja & Hallah feeders from Bhai Pheru G/S11KV Sraiye Mughal (P)% age of work Completed 0%","Domestic"
"6899","LESCO","NNS","Mana wala","Manawala","SKP","Walgon Sohail","Allama Iqbal","082613","23-02-2022","09:00","15:00","EOL from 2800-KW to 4000-KW  M/S BHIMRA Textile Mills (Pvt) LTD Fsd Road Manawala","City Manawala"
