"3998","LESCO","Eastern","Baghbanpura","Eng: University","C/O","Sherawala","Dody Pir","071011","22-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Faiz BaGh Sultan Pura"
"3999","LESCO","Nothern","Badami Bagh","Sultanpura","C/O","Sherawala","Faiz Bhag","121004","22-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Faiz Bhag"
"4000","LESCO","Nankana","Manawala","Warburton","O","Warburton","C-103","040102","22-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Set Right Tilted Poles.","Tanveer Colony ,Raheem Nagar, Bhatera, Dhoor Kot, Ghona Tibba"
"4001","LESCO","Nankana","Manawala","Warburton","O","Warburton","Mehmoowali","040124","22-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of D- Fuse Fitting , Replacement Of X-Arm.","Near Wara Mola Singh Panj Ahatah, Nawab Kot, Dera Sandeehla, Wara  Bahman"
"4002","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Faizpur","41208","22-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-Sitright HT/LT Jumper","Shama Colony, Chatha Colony, Zain Park."
"4003","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Al-Rehman Garden","041218","22-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-For Safety","Al-Rehman Garden"
"4004","LESCO","Nothern","Ferozwala","Faiz Pur","C/O","Rustam","Anees Printing press","041220","22-02-2022","9:00","15:00","1-For Safety2-For Safety3-For Safety4-For Safety","independfent"
"4005","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Jaranwala Road","41217","22-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-Sitright HT/LT Jumper3-Sitright HT/LT Jumper4-Sitright HT/LT Jumper","Jaranwala Road, Mustfa Town,Saggian Muti fuji, Village Faizpur."
"4006","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Meraj Park","41211","22-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-For Safety3-Sitright HT/LT Jumper4-For Safety","Main Bazar Begum Kot, Shoukat Colony, Bara Dari road."
"4007","LESCO","Nothern","Ferozwala","Faiz Pur","C/O","Rustam","Nain Sukh","41223","22-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-Sitright HT/LT Jumper","Dera Arban, Dera Fazal Din, Village Nain Sukh, Ai-Jannat Road.s"
