"6692","LESCO","","","Model Industry","ELR / South","Bhai Pheru","Tritax","1530","21-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH",""
"6693","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Ali Park","50808","21-02-2022","0.375","0.625","11KV Qila Kalar Feeder","Garvi Mohallah11 KV Azmat Park (P) Feeder                                               Ali ParkManager Colony"
"6694","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Diamond Polly","50831","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6695","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Industrial P","","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6696","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Islam Steel","50801","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6697","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","New  Muslim International","50819","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Independent"
"6698","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Punjab Judicial","","21-02-2022","0.375","0.625","11 KV Qila Qalar (EM) FeederD/W G/C Universty11 KV Azmat Park (P) Feeder","Ind"
"6699","LESCO","1sr Circle","Ferozwala","Ali Park","","Sham kay","Qila Kalar","50840","21-02-2022","09:00","0.625","11 KV Qila Qalar (EM) Feeder11 KV Azmat Park (P) Feeder G.C University","Indp."
"6700","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Rachana Town","50802","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder               D/W G/C Universty","Mixed"
"6701","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Sadiq Paper","50834","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6702","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Sharif Oxygen","50823","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Independent"
"6703","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Sher-e- Bangal","50824","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6704","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","UET","50836","21-02-2022","09:00","0.625","11 KV Ali Park Feeder 11 KV Azmat Park (P) Feeder     G.C Universty","Garvi MohallahAli ParkManager Colony"
"6705","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Unipet","50832","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder              D/W G/C Universty","Independent"
"6706","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","University Of Health","50845","21-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder","MixedD/W G/C Universty"
"6707","LESCO","Eastren","SHALAMAR","shalamar","North","Shalamar-I","Barket -I","19429","21-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Independent"
"6708","LESCO","Eastren","SHALAMAR","shalamar","North","Shalamar-I","Barket II","19431","21-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Independent"
"6709","LESCO","Eastren","SHALAMAR","Bilal Colony","North","Shalamar-I","Data Floor","19434","21-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Tendries"
"6710","LESCO","Eastren","SHALAMAR","shalamar","North","Shalamar-I","Javid furnace","19424","21-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Independent"
